Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
5:29:16	0.238	0.227	0.206	0.085	0.078	0.055	0.11	0.082	0.071	0.036	0.029	0.028	0.015	0.008	0.005	0.007	0.006	0.01	0.14	0.128	0.129	0.044	0.04	0.06	0.064	0.045	0.029	0.052	0.06	0.052	0.022	0.012	0.008	0.023	0.017	0.018	0.399	0.416	0.419	0.204	0.191	0.181	0.199	0.18	0.168		0.259	0.275	0.106	0.09	0.074	0.179	0.184	0.18	0.214	0.22	0.189	0.06	0.056	0.057	0.089	0.07	0.059	0.227	0.188	0.207	0.119	0.105	0.089	0.112	0.088	0.082
5:59:16	0.276	0.269	0.241	0.089	0.083	0.056	0.118	0.086	0.074	0.042	0.034	0.03	0.014	0.007	0.004	0.008	0.007	0.01	0.163	0.151	0.147	0.045	0.039	0.056	0.07	0.047	0.034	0.061	0.072	0.06	0.023	0.011	0.007	0.025	0.015	0.017	0.442	0.464	0.469	0.224	0.209	0.196	0.211	0.186	0.172		0.293	0.31	0.116	0.097	0.079	0.195	0.196	0.192	0.256	0.266	0.229	0.068	0.063	0.06	0.099	0.076	0.066	0.276	0.231	0.251	0.128	0.114	0.096	0.118	0.09	0.083
6:29:16	0.319	0.31	0.274	0.094	0.087	0.058	0.126	0.093	0.079	0.05	0.041	0.035	0.015	0.007	0.004	0.009	0.01	0.011	0.194	0.176	0.171	0.048	0.041	0.054	0.075	0.051	0.036	0.072	0.083	0.069	0.024	0.011	0.007	0.026	0.017	0.017	0.487	0.506	0.51	0.245	0.228	0.214	0.223	0.196	0.184		0.326	0.349	0.124	0.103	0.084	0.205	0.208	0.205	0.305	0.317	0.272	0.082	0.075	0.067	0.113	0.09	0.081	0.327	0.281	0.299	0.145	0.124	0.106	0.127	0.097	0.09
6:59:16	0.352	0.346	0.308	0.099	0.089	0.058	0.136	0.099	0.082	0.058	0.047	0.039	0.014	0.006	0.003	0.009	0.007	0.01	0.22	0.202	0.197	0.048	0.04	0.05	0.08	0.053	0.036	0.081	0.094	0.077	0.022	0.011	0.006	0.029	0.019	0.017	0.524	0.541	0.547	0.272	0.243	0.227	0.226	0.197	0.19		0.36	0.383	0.131	0.108	0.086	0.219	0.221	0.213	0.343	0.356	0.317	0.087	0.082	0.068	0.12	0.097	0.085	0.383	0.335	0.355	0.15	0.129	0.108	0.129	0.098	0.088
7:29:16	0.385	0.379	0.342	0.101	0.089	0.059	0.144	0.109	0.085	0.068	0.056	0.046	0.014	0.006	0.003	0.01	0.008	0.012	0.252	0.23	0.226	0.049	0.039	0.048	0.089	0.059	0.042	0.093	0.106	0.086	0.022	0.01	0.005	0.032	0.022	0.019	0.553	0.569	0.577	0.284	0.259	0.241	0.241	0.21	0.194		0.392	0.414	0.137	0.112	0.088	0.23	0.23	0.222	0.384	0.396	0.354	0.096	0.092	0.074	0.135	0.107	0.099	0.436	0.388	0.407	0.159	0.138	0.115	0.138	0.103	0.093
7:59:16	0.411	0.412	0.373	0.104	0.092	0.06	0.154	0.112	0.089	0.078	0.068	0.054	0.013	0.005	0.002	0.01	0.01	0.011	0.282	0.258	0.256	0.049	0.041	0.045	0.091	0.062	0.044	0.109	0.122	0.098	0.021	0.009	0.005	0.036	0.024	0.019	0.581	0.597	0.607	0.297	0.277	0.251	0.248	0.219	0.205		0.423	0.443	0.142	0.116	0.088	0.238	0.237	0.23	0.424	0.437	0.397	0.105	0.103	0.078	0.144	0.121	0.109	0.485	0.441	0.459	0.167	0.147	0.117	0.144	0.107	0.1
8:29:16	0.439	0.443	0.399	0.107	0.092	0.06	0.158	0.119	0.09	0.094	0.081	0.065	0.013	0.005	0.002	0.013	0.011	0.011	0.314	0.287	0.282	0.047	0.04	0.043	0.096	0.065	0.047	0.123	0.137	0.11	0.019	0.008	0.004	0.04	0.026	0.02	0.603	0.62	0.631	0.309	0.288	0.262	0.251	0.225	0.216		0.45	0.47	0.146	0.116	0.088	0.248	0.245	0.235	0.458	0.472	0.437	0.112	0.11	0.082	0.153	0.124	0.116	0.535	0.49	0.51	0.175	0.15	0.122	0.145	0.104	0.098
8:59:16	0.46	0.468	0.425	0.11	0.094	0.06	0.167	0.126	0.095	0.115	0.1	0.079	0.013	0.004	0.002	0.014	0.011	0.013	0.344	0.313	0.311	0.049	0.041	0.041	0.101	0.069	0.048	0.144	0.155	0.128	0.019	0.008	0.003	0.044	0.031	0.019	0.627	0.648	0.659	0.324	0.304	0.272	0.26	0.237	0.218		0.476	0.494	0.15	0.118	0.089	0.256	0.255	0.239	0.492	0.503	0.474	0.12	0.119	0.087	0.164	0.14	0.126	0.578	0.538	0.558	0.182	0.157	0.127	0.151	0.109	0.105
9:29:16	0.483	0.491	0.45	0.115	0.095	0.063	0.175	0.131	0.101	0.135	0.119	0.097	0.014	0.004	0.002	0.015	0.011	0.012	0.372	0.345	0.339	0.05	0.042	0.042	0.108	0.073	0.054	0.163	0.181	0.146	0.019	0.008	0.003	0.05	0.035	0.023	0.647	0.672	0.683	0.343	0.321	0.285	0.272	0.247	0.233		0.497	0.516	0.153	0.12	0.09	0.26	0.259	0.246	0.522	0.532	0.509	0.134	0.133	0.095	0.176	0.154	0.143	0.622	0.584	0.603	0.195	0.167	0.14	0.157	0.116	0.114
9:59:16	0.501	0.507	0.469	0.115	0.094	0.066	0.184	0.141	0.108	0.161	0.141	0.116	0.014	0.004	0.001	0.016	0.014	0.014	0.395	0.369	0.365	0.049	0.041	0.04	0.111	0.077	0.059	0.186	0.206	0.168	0.018	0.007	0.003	0.057	0.041	0.023	0.663	0.69	0.703	0.351	0.329	0.293	0.276	0.255	0.249		0.518	0.535	0.152	0.118	0.089	0.269	0.266	0.253	0.544	0.558	0.536	0.142	0.138	0.101	0.189	0.163	0.152	0.659	0.628	0.644	0.203	0.17	0.143	0.165	0.115	0.119
10:29:16	0.514	0.522	0.485	0.117	0.099	0.066	0.196	0.144	0.113	0.187	0.171	0.135	0.014	0.004	0.001	0.02	0.015	0.014	0.413	0.393	0.387	0.05	0.043	0.04	0.121	0.081	0.064	0.214	0.234	0.196	0.018	0.007	0.003	0.066	0.048	0.027	0.677	0.705	0.719	0.365	0.342	0.302	0.288	0.273	0.263		0.536	0.556	0.155	0.12	0.089	0.271	0.268	0.258	0.572	0.586	0.565	0.155	0.153	0.11	0.204	0.179	0.172	0.696	0.668	0.685	0.216	0.181	0.151	0.173	0.123	0.132
10:59:16	0.534	0.54	0.504	0.121	0.098	0.067	0.198	0.153	0.115	0.215	0.194	0.16	0.014	0.003	0.001	0.021	0.016	0.013	0.435	0.414	0.41	0.05	0.041	0.039	0.126	0.085	0.068	0.243	0.26	0.219	0.017	0.006	0.002	0.069	0.051	0.026	0.697	0.729	0.743	0.377	0.348	0.31	0.286	0.279	0.269		0.556	0.577	0.155	0.119	0.089	0.278	0.276	0.265	0.599	0.612	0.597	0.164	0.153	0.115	0.208	0.18	0.18	0.735	0.708	0.724	0.219	0.185	0.156	0.174	0.123	0.136
11:29:16	0.544	0.551	0.518	0.122	0.099	0.066	0.208	0.156	0.121	0.244	0.227	0.184	0.014	0.003	0.001	0.023	0.018	0.015	0.45	0.432	0.43	0.05	0.041	0.037	0.132	0.086	0.073	0.269	0.291	0.247	0.017	0.006	0.002	0.076	0.057	0.028	0.714	0.749	0.764	0.384	0.356	0.314	0.297	0.283	0.282		0.576	0.596	0.154	0.119	0.087	0.283	0.28	0.264	0.627	0.642	0.628	0.165	0.162	0.118	0.218	0.186	0.184	0.769	0.745	0.763	0.223	0.188	0.155	0.174	0.125	0.139
11:59:16	0.561	0.567	0.533	0.125	0.099	0.07	0.211	0.163	0.127	0.278	0.261	0.213	0.015	0.003	0.001	0.027	0.018	0.017	0.467	0.451	0.445	0.052	0.042	0.039	0.138	0.09	0.08	0.298	0.318	0.277	0.017	0.006	0.002	0.085	0.063	0.032	0.729	0.762	0.775	0.398	0.369	0.325	0.307	0.298	0.303		0.596	0.617	0.156	0.119	0.088	0.288	0.283	0.274	0.653	0.666	0.657	0.182	0.174	0.129	0.231	0.199	0.201	0.802	0.783	0.797	0.231	0.198	0.169	0.188	0.128	0.155
12:29:16	0.575	0.583	0.549	0.125	0.104	0.071	0.227	0.17	0.131	0.311	0.292	0.243	0.014	0.003	0.001	0.03	0.022	0.016	0.482	0.464	0.462	0.051	0.043	0.038	0.149	0.095	0.081	0.328	0.35	0.308	0.017	0.007	0.002	0.096	0.073	0.034	0.747	0.78	0.795	0.408	0.381	0.335	0.315	0.315	0.311		0.617	0.637	0.155	0.12	0.088	0.291	0.291	0.275	0.678	0.694	0.687	0.189	0.183	0.137	0.239	0.21	0.211	0.838	0.822	0.836	0.241	0.211	0.174	0.198	0.136	0.159
12:59:16	0.592	0.597	0.564	0.126	0.102	0.072	0.23	0.178	0.137	0.346	0.324	0.274	0.015	0.003	0.001	0.032	0.024	0.016	0.494	0.475	0.475	0.052	0.042	0.038	0.154	0.099	0.09	0.352	0.371	0.332	0.017	0.006	0.002	0.105	0.079	0.039	0.765	0.801	0.81	0.419	0.385	0.342	0.32	0.321	0.325		0.639	0.657	0.155	0.119	0.087	0.296	0.293	0.282	0.702	0.722	0.717	0.196	0.192	0.142	0.247	0.218	0.219	0.87	0.859	0.87	0.246	0.21	0.179	0.202	0.138	0.169
13:29:16	0.605	0.614	0.582	0.13	0.105	0.075	0.245	0.185	0.136	0.377	0.362	0.308	0.016	0.004	0.001	0.038	0.027	0.017	0.508	0.49	0.491	0.051	0.044	0.038	0.164	0.108	0.091	0.381	0.399	0.36	0.018	0.007	0.003	0.115	0.089	0.042	0.783	0.814	0.822	0.43	0.4	0.35	0.337	0.338	0.343		0.661	0.677	0.156	0.12	0.087	0.302	0.295	0.287	0.729	0.745	0.748	0.208	0.202	0.152	0.261	0.232	0.234	0.906	0.898	0.909	0.253	0.226	0.189	0.209	0.147	0.183
13:59:16	0.625	0.633	0.598	0.137	0.108	0.078	0.255	0.196	0.148	0.409	0.395	0.34	0.017	0.003	0.001	0.04	0.031	0.018	0.527	0.506	0.506	0.054	0.045	0.038	0.171	0.113	0.1	0.407	0.427	0.386	0.019	0.008	0.003	0.123	0.102	0.049	0.805	0.831	0.84	0.445	0.407	0.362	0.345	0.354	0.364		0.693	0.701	0.16	0.12	0.089	0.305	0.301	0.292	0.754	0.771	0.773	0.23	0.217	0.165	0.275	0.245	0.256	0.939	0.938	0.947	0.27	0.239	0.201	0.222	0.155	0.206
